lemma,wethey_past,pastpart,i_pres,wethey_pres,you_pres,hsi_pres,prespart,i_past,you_past,hsi_past
enter,entered,entered,enter,enter,enter,enters,entering,entered,entered,entered
entertain,entertained,entertained,entertain,entertain,entertain,entertains,entertaining,entertained,entertained,entertained
escape,escaped,escaped,escape,escape,escape,escapes,escaping,escaped,escaped,escaped
examine,examined,examined,examine,examine,examine,examines,examining,examined,examined,examined
excite,excited,excited,excite,excite,excite,excites,exciting,excited,excited,excited
excuse,excused,excused,excuse,excuse,excuse,excuses,excusing,excused,excused,excused
exercise,exercised,exercised,exercise,exercise,exercise,exercises,exercising,exercised,exercised,exercised
exist,existed,existed,exist,exist,exist,exists,existing,existed,existed,existed
expand,expanded,expanded,expand,expand,expand,expands,expanding,expanded,expanded,expanded
expect,expected,expected,expect,expect,expect,expects,expecting,expected,expected,expected
explain,explained,explained,explain,explain,explain,explains,explaining,explained,explained,explained
explode,exploded,exploded,explode,explode,explode,explodes,exploding,exploded,exploded,exploded
extend,extended,extended,extend,extend,extend,extends,extending,extended,extended,extended
face,faced,faced,face,face,face,faces,facing,faced,faced,faced
fade,faded,faded,fade,fade,fade,fades,fading,faded,faded,faded
fail,failed,failed,fail,fail,fail,fails,failing,failed,failed,failed
fancy,fancied,fancied,fancy,fancy,fancy,fancies,fancying,fancied,fancied,fancied
